LFQ intensity KO_I	LFQ intensity KO_II	LFQ intensity KO_III	LFQ intensity WT_I	LFQ intensity WT_II	LFQ intensity WT_III	C: Only identified by site	C: Reverse	C: Potential contaminant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names	T: id
0	0	0	0	0	0				1	1	1	2.8	2.8	2.8	70.843	0.0010152	2.9837	990710	6	A0A096MIS7;A0A8I5ZYD3;A0A8I6A6B7;Q66HC1	A0A096MIS7;A0A8I5ZYD3;A0A8I6A6B7;Q66HC1	Tudor domain-containing protein 3	Tdrd3	0
0	0	0	1185400	603150	722820				7	7	7	31.1	31.1	31.1	29.485	0	32.198	29997000	129	Q66H70;A0A096MIT4;A0A8I5Y068	Q66H70;A0A096MIT4;A0A8I5Y068	Interleukin-33	Il33	1
1149200	888460	499490	1342300	1056500	945060				17	17	17	28.2	28.2	28.2	71.356	0	32.433	86322000	256	A0A096MIV5;A0A0G2K762	A0A096MIV5;A0A0G2K762		Abcf2	2
1170000	1579400	418830	1736300	1760700	736530				24	17	17	38	28.2	28.2	72.644	0	240.42	142750000	543	E9PT29;A0A096MIX2;A0A8I6ARR6	E9PT29;A0A096MIX2;A0A8I6ARR6		Ddx17	3
0	0	0	482650	843530	416530				11	11	11	24.6	24.6	24.6	53.212	0	43.903	21141000	95	A0A096MJ11;A0A8I6B2B6	A0A096MJ11;A0A8I6B2B6		Gsdmd	4
0	0	0	0	0	0				3	3	3	10.9	10.9	10.9	34.387	0.00039526	4.7586	2876000	16	G3V9X8;A0A096MJ31;A0A0G2K5G6;O35777	G3V9X8;A0A096MJ31;A0A0G2K5G6;O35777	Magnesium transporter protein 1	Magt1	5
0	0	0	0	0	0				2	2	2	21	21	21	28.519	0	9.5095	2716600	8	A0A096MJ67;A0A8I6AI49;F7FL97;A0A8I6A1E4;B0BNL7	A0A096MJ67;A0A8I6AI49;F7FL97;A0A8I6A1E4;B0BNL7		Rell1	6
851290	694700	483140	1046200	651100	567230				16	16	16	31.5	31.5	31.5	86.138	0	43.964	57203000	267	A0A096MJ75;Q4V7C6;A0A0G2K2C2	A0A096MJ75;Q4V7C6;A0A0G2K2C2	GMP synthase [glutamine-hydrolyzing]	Gmps	7
0	0	0	0	0	0				3	3	3	13.2	13.2	13.2	45.436	0	11.618	5259500	44	A0A096MJ84;B5DFI9	A0A096MJ84;B5DFI9		Pdk3	8
0	374540	0	499330	0	0				11	11	11	18.8	18.8	18.8	119.83	0	32.644	15314000	69	E9PTV4;A0A096MJ94	E9PTV4;A0A096MJ94		Bms1	9
